contest-tmp2m-14d__tmp2m,index
28.911041327392308,375734
28.927495636707757,375735
28.885548180563823,375736
28.947775703496404,375737
28.98402666503465,375738
28.867473381706457,375739
28.623984262127554,375740
28.497948484196215,375741
28.371787309083366,375742
28.474034691721613,375743
28.62757159808109,375744
28.8412513129089,375745
28.599312744598834,375746
28.519109116353636,375747
28.399023317105065,375748
28.324622220273497,375749
28.125311308178887,375750
27.707193946751982,375751
27.416248137128314,375752
27.15464987071736,375753
27.146395387851385,375754
26.92039140432175,375755
26.776278106512684,375756
26.83195560846644,375757
26.52221427586629,375758
26.387359615759276,375759
26.376494558386142,375760
26.83154599792866,375761
26.700680766666288,375762
26.579440904070964,375763
26.343702334052477,375764
26.36961175734195,375765
26.4727547587556,375766
26.602530585765766,375767
26.84535035823999,375768
26.883755950546398,375769
26.67520567286441,375770
26.34624788261307,375771
26.382393353448904,375772
26.49742651784816,375773
26.662763505771064,375774
26.54509717395213,375775
26.380721327322387,375776
26.04577987605943,375777
25.61909062745701,375778
25.230604129905252,375779
24.864568434452206,375780
24.594720564811244,375781
24.30373948127448,375782
24.013347446986838,375783
23.760822096226292,375784
24.014930803371158,375785
23.869325225539434,375786
23.53758065061825,375787
23.50568767655343,375788
23.094176911758147,375789
22.595881973728766,375790
22.083217759534236,375791
21.76505498925096,375792
21.39447219736177,375793
20.809324111427575,375794
28.856218418632146,375795
28.75792888864239,375796
28.73534100877359,375797
28.86572617090712,375798
28.958482833782107,375799
28.659147232253613,375800
28.43279617449842,375801
28.22574827945935,375802
28.171584875604914,375803
28.3051595386067,375804
28.531795903032165,375805
28.731490979287848,375806
28.58687214760232,375807
28.588226839280278,375808
28.475771616600408,375809
28.347831660541306,375810
28.141491736945987,375811
27.787906368058003,375812
27.438776915789244,375813
27.129603188312974,375814
27.01447360572876,375815
27.007111238655888,375816
26.647079907806656,375817
26.660981700627545,375818
26.497854799486554,375819
26.326957467906112,375820
26.09059077173294,375821
26.42753974441904,375822
26.413604552161978,375823
26.31829996591603,375824
26.264985224606864,375825
26.379005527096027,375826
26.366839257170064,375827
26.38029611586074,375828
26.586772909363237,375829
26.514434721635286,375830
26.389811047774057,375831
26.092940342615158,375832
26.08230608682019,375833
26.16764835448703,375834
26.193380758191825,375835
26.11501300849642,375836
25.928334278646933,375837
25.466825939515516,375838
25.12134343731721,375839
24.734531597783807,375840
24.398746745669335,375841
24.070114283445815,375842
23.789459752517455,375843
23.636525376199398,375844
23.476212786586693,375845
23.628765497674177,375846
23.821548684545004,375847
23.539249043621535,375848
23.504348978054633,375849
22.968672812031244,375850
22.623665554277554,375851
22.24601587496399,375852
22.000861147646877,375853
21.707907639040045,375854
21.03053929975637,375855
29.191585803764035,375856
29.072677484906308,375857
29.08915319985441,375858
29.162664684476677,375859
29.132535205643713,375860
29.208729670080523,375861
29.13402829429072,375862
28.990860637701875,375863
28.730319462606314,375864
28.76257882170355,375865
28.85742021138127,375866
29.30513240802193,375867
28.91131233845585,375868
28.68471932447568,375869
28.529994214573538,375870
28.420071242397587,375871
28.172449724315946,375872
27.998015742833974,375873
27.63111577622055,375874
27.20444720047574,375875
27.08663331830896,375876
26.815638723187618,375877
26.67031402202541,375878
26.700397845162456,375879
26.348138926655444,375880
26.226646437646522,375881
26.401427417879777,375882
26.20362308243474,375883
26.267908442546585,375884
26.208285282516904,375885
26.09359340667449,375886
26.181865060159527,375887
26.48105784742145,375888
26.781230707885552,375889
27.037746481062424,375890
27.03007686099255,375891
26.813557267550184,375892
26.509121232434637,375893
